select8::user	select8::url	select8::opened_count	select8::closed_count	select8::reopened_count	select8::total_actions_count
magro	https://github.com/magro	0	1	0	1
masel	https://github.com/masel	0	4	0	4
mattt	https://github.com/mattt	0	2	0	2
maxee	https://github.com/maxee	1	1	0	2
mayah	https://github.com/mayah	1	0	0	1
meirm	https://github.com/meirm	1	0	0	1
mhils	https://github.com/mhils	1	1	0	2
michd	https://github.com/michd	1	0	0	1
minrk	https://github.com/minrk	0	1	0	1
mitar	https://github.com/mitar	2	0	0	2
mliu7	https://github.com/mliu7	1	0	0	1
mozeq	https://github.com/mozeq	1	0	0	1
msrex	https://github.com/msrex	1	0	0	1
muojp	https://github.com/muojp	0	1	0	1
mvl22	https://github.com/mvl22	1	0	0	1
neilk	https://github.com/neilk	0	1	0	1
nijel	https://github.com/nijel	1	0	0	1
nohrt	https://github.com/nohrt	2	0	0	2
noxan	https://github.com/noxan	0	1	0	1
o-l-e	https://github.com/o-l-e	2	0	0	2
obaid	https://github.com/obaid	1	0	0	1
olavd	https://github.com/olavd	2	0	0	2
ollyg	https://github.com/ollyg	0	1	0	1
omyno	https://github.com/omyno	1	0	0	1
opice	https://github.com/opice	1	0	0	1
oroce	https://github.com/oroce	1	0	0	1
orphu	https://github.com/orphu	0	3	1	4
otinn	https://github.com/otinn	0	1	0	1
owenb	https://github.com/owenb	0	1	0	1
oxdef	https://github.com/oxdef	0	1	0	1
pRizz	https://github.com/pRizz	11	0	0	11
padde	https://github.com/padde	1	0	0	1
pahaz	https://github.com/pahaz	4	0	0	4
palli	https://github.com/palli	1	0	0	1
parkr	https://github.com/parkr	1	0	0	1
pcout	https://github.com/pcout	1	0	0	1
peria	https://github.com/peria	1	0	0	1
perry	https://github.com/perry	0	2	0	2
poisa	https://github.com/poisa	1	0	0	1
porjo	https://github.com/porjo	2	0	0	2
psnet	https://github.com/psnet	1	0	0	1
r000n	https://github.com/r000n	2	0	0	2
rasky	https://github.com/rasky	1	0	0	1
rcruz	https://github.com/rcruz	0	1	0	1
remeh	https://github.com/remeh	1	0	0	1
remon	https://github.com/remon	1	1	0	2
renyi	https://github.com/renyi	0	1	0	1
rsmoz	https://github.com/rsmoz	1	0	0	1
rtsan	https://github.com/rtsan	1	1	0	2
rtzui	https://github.com/rtzui	1	0	0	1
rylnd	https://github.com/rylnd	3	0	0	3
s-lau	https://github.com/s-lau	0	3	0	3
salvy	https://github.com/salvy	1	0	0	1
sbaer	https://github.com/sbaer	0	2	0	2
schwa	https://github.com/schwa	1	0	0	1
seanf	https://github.com/seanf	1	0	0	1
seebi	https://github.com/seebi	0	1	0	1
senny	https://github.com/senny	0	3	0	3
sesom	https://github.com/sesom	1	0	0	1
skny5	https://github.com/skny5	1	0	0	1
sokra	https://github.com/sokra	0	1	0	1
spara	https://github.com/spara	1	1	0	2
srleo	https://github.com/srleo	1	0	0	1
sthen	https://github.com/sthen	4	0	0	4
svoop	https://github.com/svoop	1	0	0	1
tazim	https://github.com/tazim	1	0	0	1
tdtds	https://github.com/tdtds	0	1	0	1
tezro	https://github.com/tezro	1	0	0	1
tibel	https://github.com/tibel	0	0	1	1
tmont	https://github.com/tmont	0	1	0	1
tneil	https://github.com/tneil	0	1	0	1
tomav	https://github.com/tomav	0	1	0	1
tpope	https://github.com/tpope	0	3	0	3
trans	https://github.com/trans	2	1	0	3
tvere	https://github.com/tvere	1	1	0	2
tvn87	https://github.com/tvn87	0	1	0	1
ufoxp	https://github.com/ufoxp	1	2	1	4
veebs	https://github.com/veebs	1	1	0	2
vidma	https://github.com/vidma	4	1	0	5
vinha	https://github.com/vinha	1	0	0	1
vivin	https://github.com/vivin	0	2	0	2
viyer	https://github.com/viyer	4	1	0	5
vogel	https://github.com/vogel	7	0	0	7
vpcom	https://github.com/vpcom	2	3	0	5
watou	https://github.com/watou	1	3	0	4
wbond	https://github.com/wbond	0	2	0	2
weepy	https://github.com/weepy	1	0	0	1
wking	https://github.com/wking	0	2	0	2
xFlip	https://github.com/xFlip	1	0	0	1
xqgex	https://github.com/xqgex	1	0	0	1
xzenx	https://github.com/xzenx	1	0	0	1
ydnax	https://github.com/ydnax	1	0	0	1
yihui	https://github.com/yihui	0	3	0	3
zante	https://github.com/zante	0	1	0	1
zejji	https://github.com/zejji	1	0	0	1
zindy	https://github.com/zindy	1	0	0	1
znmeb	https://github.com/znmeb	6	7	0	13
znow2	https://github.com/znow2	0	0	1	1
zr2d2	https://github.com/zr2d2	1	1	0	2
zsero	https://github.com/zsero	1	0	0	1
zuzak	https://github.com/zuzak	1	0	0	1
zyake	https://github.com/zyake	4	1	0	5
67726e	https://github.com/67726e	0	1	0	1
Air4Ee	https://github.com/Air4Ee	1	0	0	1
Amaury	https://github.com/Amaury	0	1	0	1
Ardauq	https://github.com/Ardauq	1	0	0	1
Benuuu	https://github.com/Benuuu	2	2	0	4
Bonne6	https://github.com/Bonne6	2	2	0	4
Buttys	https://github.com/Buttys	1	0	0	1
CShark	https://github.com/CShark	1	0	0	1
Contex	https://github.com/Contex	0	1	0	1
Crempa	https://github.com/Crempa	1	0	0	1
Cryzer	https://github.com/Cryzer	1	0	0	1
DeeEmm	https://github.com/DeeEmm	2	0	0	2
Dretch	https://github.com/Dretch	1	0	0	1
EKettu	https://github.com/EKettu	1	0	0	1
Eireen	https://github.com/Eireen	3	2	0	5
Ertine	https://github.com/Ertine	1	0	0	1
ErwinM	https://github.com/ErwinM	1	1	0	2
GeCa7a	https://github.com/GeCa7a	1	1	0	2
Gnurou	https://github.com/Gnurou	0	1	0	1
Hammie	https://github.com/Hammie	1	0	0	1
HenAlm	https://github.com/HenAlm	0	1	0	1
IT-Can	https://github.com/IT-Can	1	1	0	2
Ikriva	https://github.com/Ikriva	1	0	0	1
Indiv0	https://github.com/Indiv0	1	2	0	3
JBX028	https://github.com/JBX028	1	0	0	1
JiFish	https://github.com/JiFish	1	2	0	3
JoseTM	https://github.com/JoseTM	1	0	0	1
KoFish	https://github.com/KoFish	0	1	0	1
Krapht	https://github.com/Krapht	0	1	0	1
Luciuz	https://github.com/Luciuz	1	0	0	1
Lynart	https://github.com/Lynart	1	0	0	1
MSergW	https://github.com/MSergW	1	0	0	1
MiniAl	https://github.com/MiniAl	1	0	0	1
MiqViq	https://github.com/MiqViq	0	1	0	1
Mogzor	https://github.com/Mogzor	7	0	0	7
Mortal	https://github.com/Mortal	5	0	0	5
Mottie	https://github.com/Mottie	0	1	0	1
NTCNeD	https://github.com/NTCNeD	1	0	0	1
Nekorp	https://github.com/Nekorp	1	1	0	2
Nerian	https://github.com/Nerian	1	0	0	1
NoxArt	https://github.com/NoxArt	1	1	0	2
Nyaran	https://github.com/Nyaran	0	1	0	1
OLee86	https://github.com/OLee86	1	0	0	1
Olathe	https://github.com/Olathe	1	0	0	1
Opukad	https://github.com/Opukad	1	0	0	1
Ph3nol	https://github.com/Ph3nol	0	1	0	1
Pizhik	https://github.com/Pizhik	1	0	0	1
Px-x64	https://github.com/Px-x64	0	1	0	1
Razish	https://github.com/Razish	0	3	0	3
Reamer	https://github.com/Reamer	0	1	0	1
Regent	https://github.com/Regent	1	0	0	1
Remiii	https://github.com/Remiii	0	1	1	2
RodEsp	https://github.com/RodEsp	3	0	0	3
Sajaki	https://github.com/Sajaki	1	0	0	1
Seldan	https://github.com/Seldan	1	1	0	2
SendoX	https://github.com/SendoX	1	0	0	1
SiPlus	https://github.com/SiPlus	2	0	0	2
Sigfig	https://github.com/Sigfig	1	0	0	1
Sirian	https://github.com/Sirian	2	0	0	2
Srokap	https://github.com/Srokap	1	0	0	1
Staudi	https://github.com/Staudi	1	0	0	1
SteelR	https://github.com/SteelR	2	0	0	2
SunboX	https://github.com/SunboX	1	0	0	1
Swatto	https://github.com/Swatto	1	0	0	1
TfT-02	https://github.com/TfT-02	0	2	0	2
Theeta	https://github.com/Theeta	1	0	0	1
Theo13	https://github.com/Theo13	0	1	0	1
Totoxa	https://github.com/Totoxa	1	0	0	1
Tymcio	https://github.com/Tymcio	1	0	0	1
Vanuan	https://github.com/Vanuan	1	0	0	1
VinceG	https://github.com/VinceG	0	1	0	1
Xavura	https://github.com/Xavura	2	0	0	2
Yousha	https://github.com/Yousha	1	0	0	1
ZDroid	https://github.com/ZDroid	1	1	0	2
aBothe	https://github.com/aBothe	0	1	0	1
aavci1	https://github.com/aavci1	0	1	0	1
abtris	https://github.com/abtris	1	0	0	1
adamsp	https://github.com/adamsp	2	0	0	2
agarie	https://github.com/agarie	0	1	0	1
ajtack	https://github.com/ajtack	1	0	0	1
akleff	https://github.com/akleff	1	0	0	1
akonst	https://github.com/akonst	1	2	0	3
albanx	https://github.com/albanx	1	1	0	2
alduro	https://github.com/alduro	1	0	0	1
alenko	https://github.com/alenko	0	3	0	3
alig99	https://github.com/alig99	1	0	0	1
alpha1	https://github.com/alpha1	1	0	0	1
andeic	https://github.com/andeic	1	0	0	1
andrew	https://github.com/andrew	0	1	0	1
anedos	https://github.com/anedos	1	0	0	1
ang3lx	https://github.com/ang3lx	1	0	0	1
anoved	https://github.com/anoved	1	2	0	3
aponxi	https://github.com/aponxi	4	0	0	4
appcia	https://github.com/appcia	1	0	0	1
apuyou	https://github.com/apuyou	0	1	0	1
aritzg	https://github.com/aritzg	4	3	0	7
arturi	https://github.com/arturi	1	1	0	2
astale	https://github.com/astale	2	0	0	2
atedja	https://github.com/atedja	1	0	0	1
atopcu	https://github.com/atopcu	0	1	0	1
badunk	https://github.com/badunk	2	1	0	3
balouh	https://github.com/balouh	4	0	0	4
barakm	https://github.com/barakm	1	0	0	1
bebraw	https://github.com/bebraw	2	1	0	3
benfry	https://github.com/benfry	0	5	0	5
bgrins	https://github.com/bgrins	1	0	0	1
bitinn	https://github.com/bitinn	1	0	0	1
blak3r	https://github.com/blak3r	1	0	0	1
blizzz	https://github.com/blizzz	2	0	0	2
blobru	https://github.com/blobru	1	0	0	1
bobxiv	https://github.com/bobxiv	2	0	0	2
boegel	https://github.com/boegel	1	0	0	1
boncey	https://github.com/boncey	0	1	0	1
bperry	https://github.com/bperry	1	0	0	1
braaam	https://github.com/braaam	1	0	0	1
brysgo	https://github.com/brysgo	1	0	0	1
bueler	https://github.com/bueler	1	1	0	2
byroot	https://github.com/byroot	1	1	0	2
cadorn	https://github.com/cadorn	0	1	0	1
calebl	https://github.com/calebl	6	1	1	8
caolan	https://github.com/caolan	0	1	0	1
caseyg	https://github.com/caseyg	13	0	0	13
cesine	https://github.com/cesine	1	11	0	12
cfmtjr	https://github.com/cfmtjr	0	1	0	1
cfobel	https://github.com/cfobel	1	0	0	1
ch0kee	https://github.com/ch0kee	3	0	0	3
chigix	https://github.com/chigix	1	0	0	1
chregu	https://github.com/chregu	0	1	0	1
chron0	https://github.com/chron0	1	1	0	2
claude	https://github.com/claude	1	0	0	1
cnervi	https://github.com/cnervi	1	0	0	1
cody4k	https://github.com/cody4k	1	0	0	1
colasf	https://github.com/colasf	1	0	0	1
cornae	https://github.com/cornae	0	1	0	1
cowboy	https://github.com/cowboy	0	1	0	1
craigh	https://github.com/craigh	2	1	0	3
crazko	https://github.com/crazko	2	1	0	3
croach	https://github.com/croach	2	1	0	3
crust3	https://github.com/crust3	0	1	0	1
