aggregate_count_action::date	aggregate_count_action::opened_count	aggregate_count_action::closed_count	aggregate_count_action::reopened_count
2013-12-08	7275	4683	352
2013-12-09	11077	6738	352
2013-12-10	10918	6816	367
2013-12-11	10827	6503	310
2013-12-12	11316	6977	330
2013-12-13	8475	5073	265
2013-12-14	7162	5328	183
2013-12-15	7032	4738	202
2013-12-16	11389	6296	358
2013-12-17	10342	6745	325
2013-12-18	9714	6046	331
2013-12-19	11596	8620	277
2013-12-20	8738	6048	222
2013-12-21	4995	3313	155
2013-12-22	6505	4892	170
2013-12-23	6792	4617	206
2013-12-24	5231	3375	134
2013-12-25	4307	2715	143
2013-12-26	7254	4062	193
2013-12-27	7185	5154	175
2013-12-28	5002	3573	135
2013-12-29	7480	4886	143
2013-12-30	7563	5549	188
2013-12-31	5144	3567	140
